"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2023-06-07T18:30:00.000Z","73.60","73.90","72.05","72.20","-1.90","2.18","28,757,809"
"2023-06-08T18:30:00.000Z","72.35","72.90","71.45","71.70","-0.69","3.39","17,742,518"
"2023-06-11T18:30:00.000Z","71.80","73.05","70.85","72.80","1.53","5.62","21,006,740"
"2023-06-12T18:30:00.000Z","73.20","75.00","73.00","74.80","2.75","6.83","44,054,805"
"2023-06-13T18:30:00.000Z","75.25","76.90","74.95","76.75","2.61","6.69","50,922,815"
"2023-06-14T18:30:00.000Z","76.90","79.90","76.30","79.00","2.93","7.01","71,417,373"
"2023-06-15T18:30:00.000Z","79.50","82.35","79.25","81.70","3.42","7.50","60,784,532"
"2023-06-18T18:30:00.000Z","82.00","84.50","80.20","81.30","-0.49","3.59","82,330,493"
"2023-06-19T18:30:00.000Z","81.75","83.15","81.40","82.80","1.85","5.93","46,126,349"
"2023-06-20T18:30:00.000Z","83.10","84.35","81.50","82.20","-0.72","3.36","44,526,728"
"2023-06-21T18:30:00.000Z","81.90","82.00","77.30","77.60","-5.60","-1.51","85,854,307"
"2023-06-22T18:30:00.000Z","77.60","79.15","75.55","77.75","0.19","4.27","56,849,916"
"2023-06-25T18:30:00.000Z","77.90","78.25","76.45","77.75","0","4.08","30,737,311"
"2023-06-26T18:30:00.000Z","78.10","79.60","77.95","78.25","0.64","4.72","37,226,897"
"2023-06-27T18:30:00.000Z","78.25","78.25","78.25","78.25","0","4.08","0"
"2023-06-29T18:30:00.000Z","80.05","81.45","79.25","79.40","1.47","5.55","45,626,525"
"2023-07-02T18:30:00.000Z","79.95","82.10","79.90","81.95","3.21","7.29","41,722,855"
"2023-07-03T18:30:00.000Z","81.50","81.50","77.05","78.65","-4.03","0.05","123,645,833"
"2023-07-04T18:30:00.000Z","78.50","81.45","78.00","80.35","2.16","6.24","74,563,754"
"2023-07-05T18:30:00.000Z","80.35","81.10","79.70","80.50","0.19","4.27","45,178,598"
"2023-07-06T18:30:00.000Z","80.50","80.80","79.05","79.70","-0.99","3.09","27,805,119"
"2023-07-09T18:30:00.000Z","80.20","80.20","78.85","79.25","-0.56","3.52","23,509,603"
"2023-07-10T18:30:00.000Z","79.55","83.00","79.50","82.80","4.48","8.56","61,675,220"
"2023-07-11T18:30:00.000Z","83.30","84.40","82.85","83.10","0.36","4.44","44,600,443"
"2023-07-12T18:30:00.000Z","83.50","83.65","81.10","81.35","-2.11","1.98","31,808,815"
"2023-07-13T18:30:00.000Z","81.80","82.75","81.20","82.50","1.41","5.49","23,195,358"
"2023-07-16T18:30:00.000Z","82.55","82.70","81.25","81.70","-0.97","3.11","20,735,946"
"2023-07-17T18:30:00.000Z","82.15","82.40","80.55","81.10","-0.73","3.35","26,356,687"
"2023-07-18T18:30:00.000Z","81.45","82.20","80.60","81.80","0.86","4.94","35,963,042"
"2023-07-19T18:30:00.000Z","81.75","81.80","80.90","81.40","-0.49","3.59","22,078,998"
"2023-07-20T18:30:00.000Z","81.45","83.15","81.00","82.85","1.78","5.86","33,765,456"
"2023-07-23T18:30:00.000Z","83.40","85.50","83.10","83.70","1.03","5.11","52,748,590"
"2023-07-24T18:30:00.000Z","84.05","84.30","82.60","83.05","-0.78","3.30","27,648,977"
"2023-07-25T18:30:00.000Z","83.15","84.80","83.10","84.65","1.93","6.01","35,416,467"
"2023-07-26T18:30:00.000Z","85.45","86.10","82.05","82.55","-2.48","1.60","57,037,266"
"2023-07-27T18:30:00.000Z","83.00","84.15","82.55","83.95","1.70","5.78","31,513,904"
"2023-07-30T18:30:00.000Z","85.50","88.30","84.05","87.20","3.87","7.95","101,482,338"
"2023-07-31T18:30:00.000Z","87.65","89.45","87.50","88.50","1.49","5.57","44,063,991"
"2023-08-01T18:30:00.000Z","88.30","88.30","85.55","87.10","-1.58","2.50","38,132,375"
"2023-08-02T18:30:00.000Z","87.30","87.90","85.85","86.95","-0.17","3.91","34,558,158"
"2023-08-03T18:30:00.000Z","87.70","88.20","86.50","87.45","0.58","4.66","28,666,645"
"2023-08-06T18:30:00.000Z","87.75","88.45","87.10","87.65","0.23","4.31","25,688,424"
"2023-08-07T18:30:00.000Z","87.70","88.75","86.85","87.45","-0.23","3.85","21,638,603"
"2023-08-08T18:30:00.000Z","87.65","88.30","87.10","88.15","0.80","4.88","21,568,879"
"2023-08-09T18:30:00.000Z","88.00","89.00","87.20","87.55","-0.68","3.40","28,905,866"
"2023-08-10T18:30:00.000Z","88.05","89.00","87.65","88.15","0.69","4.77","33,682,850"
"2023-08-13T18:30:00.000Z","88.20","88.50","86.30","88.15","0","4.08","21,353,172"
"2023-08-15T18:30:00.000Z","87.80","88.65","87.35","88.35","0.23","4.31","27,771,707"
"2023-08-16T18:30:00.000Z","88.45","90.00","88.05","88.55","0.23","4.31","36,736,850"
"2023-08-17T18:30:00.000Z","88.15","89.65","88.15","88.95","0.45","4.53","20,227,094"
"2023-08-20T18:30:00.000Z","89.40","89.95","88.75","89.70","0.84","4.92","27,088,533"
